gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,Total_Score,Avg_Score,Score_Range,Math_z,Reading_z,Writing_z,Pass_Count,Performance_Level,High_in,Low_in,Percentile,Student_Feedback,Feedback_Length,Sentiment,gender_enc,race/ethnicity_enc,parental level of education_enc,lunch_enc,test preparation course_enc,Performance_Level_enc,High_in_enc,Low_in_enc
female,group B,bachelor's degree,standard,none,72.0,72.0,74.0,218.0,72.66666666666667,2.0,0.3900235098032764,0.19399858403803502,0.3914918076496706,3,Good,writing score,math score,61.75000000000001,I felt the exam was fair and covered the syllabus.,10.0,0.7,0,1,1,1,1,2,2,0
female,group C,some college,standard,completed,69.0,90.0,88.0,247.0,82.33333333333333,21.0,0.19207552648237824,1.4274759816659497,1.3132686840532009,3,Good,reading score,math score,84.1,I was distracted and couldn't focus during online classes.,9.0,0.0,0,2,4,1,0,2,1,0
female,group B,master's degree,standard,none,90.0,95.0,93.0,278.0,92.66666666666667,5.0,1.577711409728665,1.7701085921181483,1.6424747113401759,3,Excellent,reading score,math score,96.89999999999999,Poor internet and time management affected my study.,8.0,-0.4,0,1,3,1,1,1,1,0
male,group A,associate's degree,free/reduced,none,47.0,57.0,44.0,148.0,49.333333333333336,13.0,-1.2595430178708746,-0.8338992473185606,-1.5837443560721798,3,Poor,reading score,writing score,9.85,Assignments were too many and stressful but helpful.,8.0,0.5,1,0,0,0,1,3,1,2
male,group C,some college,standard,none,76.0,78.0,75.0,229.0,76.33333333333333,3.0,0.6539541542311406,0.6051577165806732,0.45733301310706564,3,Good,reading score,writing score,71.65,I felt the exam was fair and covered the syllabus.,10.0,0.7,1,2,4,1,1,2,1,2
female,group B,associate's degree,standard,none,71.0,83.0,78.0,232.0,77.33333333333333,12.0,0.32404084869631034,0.9477903270328718,0.6548566294792506,3,Good,reading score,math score,73.95,I needed more examples and exercises to practice.,8.0,0.5,0,1,0,1,1,2,1,0
female,group B,some college,standard,completed,88.0,95.0,92.0,275.0,91.66666666666667,7.0,1.445746087514733,1.7701085921181483,1.5766335058827807,3,Excellent,reading score,math score,96.15,"The teacher explained concepts clearly, helped me a lot.",9.0,0.09999999999999999,0,1,4,1,0,1,1,0
male,group B,some college,free/reduced,none,40.0,43.0,39.0,122.0,40.666666666666664,4.0,-1.721421645619637,-1.7932705565847165,-1.9129503833591548,3,Poor,reading score,writing score,3.35,I felt the exam was fair and covered the syllabus.,10.0,0.7,1,1,4,0,1,3,1,2
male,group D,high school,free/reduced,completed,64.0,64.0,67.0,195.0,65.0,3.0,-0.13783777905245198,-0.35421359268548264,-0.06939663055209448,3,Average,writing score,math score,40.400000000000006,Poor internet and time management affected my study.,8.0,-0.4,1,3,2,0,0,0,2,0
female,group B,high school,free/reduced,none,38.0,60.0,50.0,148.0,49.333333333333336,22.0,-1.853386967833569,-0.6283196810472415,-1.1886971233278096,3,Poor,reading score,math score,9.85,Assignments were too many and stressful but helpful.,8.0,0.5,0,1,2,0,1,3,1,0
male,group C,associate's degree,standard,none,58.0,54.0,52.0,164.0,54.666666666666664,6.0,-0.5337337456942483,-1.0394788135898796,-1.0570147124130196,3,Average,math score,writing score,18.7,I was distracted and couldn't focus during online classes.,9.0,0.0,1,2,0,1,1,0,0,2
